index,doppler_offset,timestamp,measured_freq
322,1929.2429199219,2018-01-13T16:12:34.062011Z,145881929.2429199219
323,1933.5321044922,2018-01-13T16:12:34.162011Z,145881933.5321044922
324,1932.9630126953,2018-01-13T16:12:34.262011Z,145881932.9630126953
325,1924.5067138672,2018-01-13T16:12:34.362011Z,145881924.5067138672
326,1935.9968261719,2018-01-13T16:12:34.462011Z,145881935.9968261719
327,1930.2716064453,2018-01-13T16:12:34.562011Z,145881930.2716064453
328,1927.0812988281,2018-01-13T16:12:34.662011Z,145881927.0812988281
329,1906.8858642578,2018-01-13T16:12:34.762011Z,145881906.8858642578
330,1902.1739501953,2018-01-13T16:12:34.862011Z,145881902.1739501953
331,1921.6380615234,2018-01-13T16:12:34.962011Z,145881921.6380615234
332,1922.3662109375,2018-01-13T16:12:35.062011Z,145881922.3662109375
333,1925.2303466797,2018-01-13T16:12:35.162011Z,145881925.2303466797
334,1921.7469482422,2018-01-13T16:12:35.262011Z,145881921.7469482422
335,1918.9202880859,2018-01-13T16:12:35.362011Z,145881918.9202880859
336,1920.0479736328,2018-01-13T16:12:35.462011Z,145881920.0479736328
337,1922.3443603516,2018-01-13T16:12:35.562011Z,145881922.3443603516
338,1917.0133056641,2018-01-13T16:12:35.662011Z,145881917.0133056641
339,1872.0640869141,2018-01-13T16:12:35.762011Z,145881872.0640869141
340,1858.6177978516,2018-01-13T16:12:35.862011Z,145881858.6177978516
341,1872.2442626953,2018-01-13T16:12:35.962011Z,145881872.2442626953
342,1891.2141113281,2018-01-13T16:12:36.062011Z,145881891.2141113281
343,1880.3056640625,2018-01-13T16:12:36.162011Z,145881880.3056640625
344,1898.5628662109,2018-01-13T16:12:36.262011Z,145881898.5628662109
345,1867.5788574219,2018-01-13T16:12:36.362011Z,145881867.5788574219
346,1872.9761962891,2018-01-13T16:12:36.462011Z,145881872.9761962891
347,1877.0496826172,2018-01-13T16:12:36.562011Z,145881877.0496826172
348,1868.8526611328,2018-01-13T16:12:36.662011Z,145881868.8526611328
349,1867.1185302734,2018-01-13T16:12:36.762011Z,145881867.1185302734
350,1874.1444091797,2018-01-13T16:12:36.862011Z,145881874.1444091797
351,1880.4645996094,2018-01-13T16:12:36.962011Z,145881880.4645996094
352,1862.8109130859,2018-01-13T16:12:37.062011Z,145881862.8109130859
353,1859.8880615234,2018-01-13T16:12:37.162011Z,145881859.8880615234
354,1879.2530517578,2018-01-13T16:12:37.262011Z,145881879.2530517578
355,1875.1392822266,2018-01-13T16:12:37.362011Z,145881875.1392822266
356,1863.4251708984,2018-01-13T16:12:37.462011Z,145881863.4251708984
357,1866.9658203125,2018-01-13T16:12:37.562011Z,145881866.9658203125
358,1866.1981201172,2018-01-13T16:12:37.662011Z,145881866.1981201172
359,1851.7768554688,2018-01-13T16:12:37.762011Z,145881851.7768554688
360,1870.2106933594,2018-01-13T16:12:37.862011Z,145881870.2106933594
361,1850.4176025391,2018-01-13T16:12:37.962011Z,145881850.4176025391
362,1874.3843994141,2018-01-13T16:12:38.062011Z,145881874.3843994141
363,1878.6052246094,2018-01-13T16:12:38.162011Z,145881878.6052246094
364,1844.8814697266,2018-01-13T16:12:38.262011Z,145881844.8814697266
365,1859.7308349609,2018-01-13T16:12:38.362011Z,145881859.7308349609
366,1853.3365478516,2018-01-13T16:12:38.462011Z,145881853.3365478516
367,1854.2414550781,2018-01-13T16:12:38.562011Z,145881854.2414550781
368,1852.2084960938,2018-01-13T16:12:38.662011Z,145881852.2084960938
369,1846.0477294922,2018-01-13T16:12:38.762011Z,145881846.0477294922
370,1850.7751464844,2018-01-13T16:12:38.862011Z,145881850.7751464844
371,1871.1566162109,2018-01-13T16:12:38.962011Z,145881871.1566162109
372,1889.1602783203,2018-01-13T16:12:39.062011Z,145881889.1602783203
373,1867.9184570312,2018-01-13T16:12:39.162011Z,145881867.9184570312
